theta,b_l,b_u
1.000000,12.178492,89.749937
2.000000,12.853186,89.499596
3.000000,13.560776,89.248670
4.000000,14.300811,88.996861
5.000000,15.072635,88.743866
6.000000,15.875427,88.489375
7.000000,16.708229,88.233070
8.000000,17.569991,87.974617
9.000000,18.459609,87.713674
10.000000,19.375956,87.449878
11.000000,20.317923,87.182848
12.000000,21.284437,86.912179
13.000000,22.274494,86.637442
14.000000,23.287171,86.358174
15.000000,24.321650,86.073878
16.000000,25.377221,85.784015
17.000000,26.453305,85.487998
18.000000,27.549450,85.185182
19.000000,28.665352,84.874859
20.000000,29.800856,84.556242
21.000000,30.955974,84.228452
22.000000,32.130892,83.890503
23.000000,33.325993,83.541279
24.000000,34.541873,83.179508
25.000000,35.779376,82.803726
26.000000,37.039628,82.412240
27.000000,38.324097,82.003064
28.000000,39.634654,81.573847
29.000000,40.973683,81.121772
30.000000,42.344205,80.643414
31.000000,43.750089,80.134540
32.000000,45.196329,79.589815
33.000000,46.689492,79.002364
34.000000,48.238416,78.363065
35.000000,49.855368,77.659387
36.000000,51.558130,76.873308
37.000000,53.374046,75.977261
38.000000,55.348968,74.925188
39.000000,57.571067,73.628730
40.000000,60.259186,71.868868
41.000000,64.654966,68.403797
42.000000,-541.991664,-1.991836
43.000000,178.072933,-1801.926439
44.000000,718.135554,358.135668
45.000000,-1.803338,178.196605
46.000000,3958.254485,178.255684
47.000000,-181.686818,-1.686876
48.000000,178.368853,178.368853
49.000000,358.423075,-1.576811
